Phi (°),Theta (°),Total_Visible_Surface_Area,Num_Visible_Faces,Front_Surface_Area,Back_Surface_Area,Left_Surface_Area,Right_Surface_Area,Top_Surface_Area,Bottom_Surface_Area,Front_Outside_Angle,Back_Outside_Angle,Left_Outside_Angle,Right_Outside_Angle,Top_Outside_Angle,Bottom_Outside_Angle,Normalised_Visible_Surface_Area,Normalised_Num_Visible_Faces,Visibility_Index
0,0,4.0,1,4.0,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,180.0,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,0.6604563603979742,0.16666666666666666,0.8271230270646408
5,0,3.981217648532918,1,3.981217648532918,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,174.44540112846903,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,0.6573551295255581,0.16666666666666666,0.8240217961922247
10,0,4.223428164498872,2,3.9251238857071864,Not Visible,Not Visible,0.2983042787916848,Not Visible,Not Visible,168.89652075551024,Not Visible,Not Visible,94.27686467268389,Not Visible,Not Visible,0.6973474984818053,0.3333333333333333,1.0306808318151386
15,0,4.48144347562008,2,3.832470986043626,Not Visible,Not Visible,0.6489724895764538,Not Visible,Not Visible,163.35897032857227,Not Visible,Not Visible,99.33711911563832,Not Visible,Not Visible,0.7399494618093213,0.3333333333333333,1.0732827951426547
20,0,4.702140195611283,2,3.7044878929473626,Not Visible,Not Visible,0.9976523026639205,Not Visible,Not Visible,157.83815167106732,Not Visible,Not Visible,104.4427837556085,Not Visible,Not Visible,0.7763895999186115,0.3333333333333333,1.1097229332519447
25,0,4.8842692277166115,2,3.5428445975938483,Not Visible,Not Visible,1.3414246301227637,Not Visible,Not Visible,152.33916301626834,Not Visible,Not Visible,109.5941971491073,Not Visible,Not Visible,0.8064616693353843,0.3333333333333333,1.1397950026687176
30,0,5.026861126541206,2,3.3496053877861374,Not Visible,Not Visible,1.6772557387550688,Not Visible,Not Visible,146.86671712060908,Not Visible,Not Visible,114.79128089714487,Not Visible,Not Visible,0.8300056009653664,0.3333333333333333,1.1633389342986997
35,0,5.129198670772158,2,3.1271736906473397,Not Visible,Not Visible,2.002024980124819,Not Visible,Not Visible,141.42507404528632,Not Visible,Not Visible,120.03349855735293,Not Visible,Not Visible,0.8469029714640767,0.3333333333333333,1.18023630479741
40,0,5.190791087031757,2,2.878231516935264,Not Visible,Not Visible,2.312559570096493,Not Visible,Not Visible,136.0179901843818,Not Visible,Not Visible,125.31981866092067,Not Visible,Not Visible,0.8570727472318095,0.3333333333333333,1.1904060805651429
45,0,5.211353066174663,2,2.605676533087332,Not Visible,Not Visible,2.6056765330873315,Not Visible,Not Visible,130.64868408641405,Not Visible,Not Visible,130.64868408641405,Not Visible,Not Visible,0.8604678197086352,0.3333333333333333,1.1938011530419685
